State,costIndex,costRank
Mississippi,86.1,1
Arkansas,86.9,2
Oklahoma,87,3
Missouri,87.1,4
New Mexico,87.5,5
Tennessee,88.7,6
Michigan,88.9,7
Kansas,89,8
Georgia,89.2,9
Alabama,89.3,11
Wyoming,89.3,10
Indiana,90,12
Iowa,90.1,13
Nebraska,90.8,14
Ohio,90.8,15
Kentucky,90.9,16
West Virginia,91.1,17
Texas,91.5,18
Idaho,92.3,19
Louisiana,93.9,20
Illinois,94.5,21
North Carolina,94.9,22
South Carolina,95.9,23
Arizona,97,24
Wisconsin,97.3,25
Florida,97.9,26
Utah,98.4,27
North Dakota,98.8,28
South Dakota,99.8,29
Virginia,100.7,30
Minnesota,101.6,31
Pennsylvania,101.7,32
Colorado,105.6,33
Montana,106.9,34
Delaware,108.1,35
Nevada,108.5,36
New Hampshire,109.7,37
Washington,110.7,38
Vermont,114.5,39
Maine,117.5,40
Rhode Island,119.4,41
New Jersey,125.1,42
Connecticut,127.7,43
Maryland,129.7,44
Alaska,129.9,45
Massachusetts,131.6,46
Oregon,134.2,47
New York,139.1,48
California,151.7,49
Washington DC,158.4,50
Hawaii,192.9,51
